order,mean,std,count,se_mean,z
STRIGIFORMES,-0.17798328868674454,0.0484472055767124,22,0.010328978934382609,-17.2314504480479
CORACIIFORMES,-0.15326314229160196,0.07781702624275502,17,0.018873401098255315,-8.120589473710163
FALCONIFORMES,-0.15138875298758722,0.030582723617811156,11,0.009221038118856368,-16.41775590082509
ACCIPITRIFORMES,-0.10615718270954592,0.08548566159465769,39,0.013688661167958976,-7.755118006575241
CUCULIFORMES,-0.05075867241656437,0.05350272133823251,12,0.015444905283503037,-3.286434684114286
COLUMBIFORMES,-0.03725322478847197,0.07255546852453414,37,0.011928045548899138,-3.1231625194380768
PICIFORMES,-0.024524246297213264,0.05908551463821861,24,0.012060780171115152,-2.0333880519559897
GALLIFORMES,-0.020792360307154863,0.10742325910889647,41,0.01677669448937083,-1.2393597749740408
CAPRIMULGIFORMES,-0.012125796551400343,0.07271353261280195,17,0.017635622080845702,-0.6875740756868646
PELECANIFORMES,-0.011138621362276155,0.06589737523828003,29,0.012236835379852495,-0.9102534288085211
ANSERIFORMES,0.012012225546590441,0.07673500552852036,41,0.01198399448193201,1.002355730779165
PASSERIFORMES,0.015212913953180947,0.0624778402561283,588,0.0025765427064472937,5.904390373624938
CHARADRIIFORMES,0.015965576618194918,0.07215404031284384,133,0.006256548769671214,2.5518184555019334
PROCELLARIIFORMES,0.025266530247373367,0.0880008019116317,23,0.01834943564715659,1.3769649777369934
GRUIFORMES,0.03783266179148181,0.06362978203529532,21,0.013885156791918193,2.7246838014463166
APODIFORMES,0.07525436668000196,0.06644065385601156,19,0.01524253136321686,4.937130512429525
SULIFORMES,0.0884697057338995,0.08641484916319729,11,0.026055057362680246,3.3954907295893495
